1, 3, 5, 7, 9, 10, 11, 13, 15, 17, 19
1, 3, 5, 7, 9, '>=10', '>1100', '>3300', '>5500', '>7700', '>10000'
x,y,region
1,0.140077821012,FR1
2,0.0466926070039,FR1
3,0.0233463035019,FR1
4,0.0155642023346,FR1
5,0.00778210116732,FR1
6,0.00778210116732,FR1
7,0.00778210116732,FR1
8,0.0,FR1
9,0.00389105058366,FR1
10.0,0.459143968872,FR1
10.101010101,0,FR1
10.202020202,0,FR1
10.303030303,0,FR1
10.404040404,0,FR1
10.5050505051,0,FR1
10.6060606061,0,FR1
10.7070707071,0,FR1
10.8080808081,0,FR1
10.9090909091,0,FR1
11.0101010101,0,FR1
11.1111111111,0,FR1
11.2121212121,0,FR1
11.3131313131,0,FR1
11.4141414141,0,FR1
11.5151515152,0,FR1
11.6161616162,0,FR1
11.7171717172,0,FR1
11.8181818182,0,FR1
11.9191919192,0,FR1
12.0202020202,0,FR1
12.1212121212,0,FR1
12.2222222222,0,FR1
12.3232323232,0,FR1
12.4242424242,0,FR1
12.5252525253,0,FR1
12.6262626263,0,FR1
12.7272727273,0,FR1
12.8282828283,0,FR1
12.9292929293,0,FR1
13.0303030303,0,FR1
13.1313131313,0,FR1
13.2323232323,0,FR1
13.3333333333,0,FR1
13.4343434343,0,FR1
13.5353535354,0,FR1
13.6363636364,0,FR1
13.7373737374,0,FR1
13.8383838384,0,FR1
13.9393939394,0,FR1
14.0404040404,0,FR1
14.1414141414,0,FR1
14.2424242424,0,FR1
14.3434343434,0,FR1
14.4444444444,0,FR1
14.5454545455,0,FR1
14.6464646465,0,FR1
14.7474747475,0,FR1
14.8484848485,0,FR1
14.9494949495,0,FR1
15.0505050505,0,FR1
15.1515151515,0,FR1
15.2525252525,0,FR1
15.3535353535,0,FR1
15.4545454545,0,FR1
15.5555555556,0,FR1
15.6565656566,0,FR1
15.7575757576,0,FR1
15.8585858586,0,FR1
15.9595959596,0,FR1
16.0606060606,0,FR1
16.1616161616,0,FR1
16.2626262626,0,FR1
16.3636363636,0,FR1
16.4646464646,0,FR1
16.5656565657,0,FR1
16.6666666667,0,FR1
16.7676767677,0,FR1
16.8686868687,0,FR1
16.9696969697,0,FR1
17.0707070707,0,FR1
17.1717171717,0,FR1
17.2727272727,0,FR1
17.3737373737,0,FR1
17.4747474747,0,FR1
17.5757575758,0,FR1
17.6767676768,0,FR1
17.7777777778,0,FR1
17.8787878788,0,FR1
17.9797979798,0,FR1
18.0808080808,0,FR1
18.1818181818,0,FR1
18.2828282828,0,FR1
18.3838383838,0,FR1
18.4848484848,0,FR1
18.5858585859,0,FR1
18.6868686869,0,FR1
18.7878787879,0,FR1
18.8888888889,0,FR1
18.9898989899,0,FR1
19.0909090909,0,FR1
19.1919191919,0,FR1
19.2929292929,0,FR1
19.3939393939,0,FR1
19.4949494949,0,FR1
19.595959596,0,FR1
19.696969697,0,FR1
19.797979798,0,FR1
19.898989899,0,FR1
20.0,0,FR1
1,0.0739299610895,FR2
2,0.0350194552529,FR2
3,0.0155642023346,FR2
4,0.0194552529183,FR2
5,0.011673151751,FR2
6,0.00778210116732,FR2
7,0.00389105058366,FR2
8,0.00778210116732,FR2
9,0.011673151751,FR2
10.0,0.431906614786,FR2
10.101010101,0,FR2
10.202020202,0,FR2
10.303030303,0,FR2
10.404040404,0,FR2
10.5050505051,0,FR2
10.6060606061,0,FR2
10.7070707071,0,FR2
10.8080808081,0,FR2
10.9090909091,0,FR2
11.0101010101,0,FR2
11.1111111111,0,FR2
11.2121212121,0,FR2
11.3131313131,0,FR2
11.4141414141,0,FR2
11.5151515152,0,FR2
11.6161616162,0,FR2
11.7171717172,0,FR2
11.8181818182,0,FR2
11.9191919192,0,FR2
12.0202020202,0,FR2
12.1212121212,0,FR2
12.2222222222,0,FR2
12.3232323232,0,FR2
12.4242424242,0,FR2
12.5252525253,0,FR2
12.6262626263,0,FR2
12.7272727273,0,FR2
12.8282828283,0,FR2
12.9292929293,0,FR2
13.0303030303,0,FR2
13.1313131313,0,FR2
13.2323232323,0,FR2
13.3333333333,0,FR2
13.4343434343,0,FR2
13.5353535354,0,FR2
13.6363636364,0,FR2
13.7373737374,0,FR2
13.8383838384,0,FR2
13.9393939394,0,FR2
14.0404040404,0,FR2
14.1414141414,0,FR2
14.2424242424,0,FR2
14.3434343434,0,FR2
14.4444444444,0,FR2
14.5454545455,0,FR2
14.6464646465,0,FR2
14.7474747475,0,FR2
14.8484848485,0,FR2
14.9494949495,0,FR2
15.0505050505,0,FR2
15.1515151515,0,FR2
15.2525252525,0,FR2
15.3535353535,0,FR2
15.4545454545,0,FR2
15.5555555556,0,FR2
15.6565656566,0,FR2
15.7575757576,0,FR2
15.8585858586,0,FR2
15.9595959596,0,FR2
16.0606060606,0,FR2
16.1616161616,0,FR2
16.2626262626,0,FR2
16.3636363636,0,FR2
16.4646464646,0,FR2
16.5656565657,0,FR2
16.6666666667,0,FR2
16.7676767677,0,FR2
16.8686868687,0,FR2
16.9696969697,0,FR2
17.0707070707,0,FR2
17.1717171717,0,FR2
17.2727272727,0,FR2
17.3737373737,0,FR2
17.4747474747,0,FR2
17.5757575758,0,FR2
17.6767676768,0,FR2
17.7777777778,0,FR2
17.8787878788,0,FR2
17.9797979798,0,FR2
18.0808080808,0,FR2
18.1818181818,0,FR2
18.2828282828,0,FR2
18.3838383838,0,FR2
18.4848484848,0,FR2
18.5858585859,0,FR2
18.6868686869,0,FR2
18.7878787879,0,FR2
18.8888888889,0,FR2
18.9898989899,0,FR2
19.0909090909,0,FR2
19.1919191919,0,FR2
19.2929292929,0,FR2
19.3939393939,0,FR2
19.4949494949,0,FR2
19.595959596,0,FR2
19.696969697,0,FR2
19.797979798,0,FR2
19.898989899,0,FR2
20.0,0,FR2
1,0.178988326848,FR3
2,0.0622568093385,FR3
3,0.0233463035019,FR3
4,0.0233463035019,FR3
5,0.0155642023346,FR3
6,0.00778210116732,FR3
7,0.00778210116732,FR3
8,0.011673151751,FR3
9,0.0,FR3
10.0,0.260700389105,FR3
10.101010101,0,FR3
10.202020202,0,FR3
10.303030303,0,FR3
10.404040404,0,FR3
10.5050505051,0,FR3
10.6060606061,0,FR3
10.7070707071,0,FR3
10.8080808081,0,FR3
10.9090909091,0,FR3
11.0101010101,0,FR3
11.1111111111,0,FR3
11.2121212121,0,FR3
11.3131313131,0,FR3
11.4141414141,0,FR3
11.5151515152,0,FR3
11.6161616162,0,FR3
11.7171717172,0,FR3
11.8181818182,0,FR3
11.9191919192,0,FR3
12.0202020202,0,FR3
12.1212121212,0,FR3
12.2222222222,0,FR3
12.3232323232,0,FR3
12.4242424242,0,FR3
12.5252525253,0,FR3
12.6262626263,0,FR3
12.7272727273,0,FR3
12.8282828283,0,FR3
12.9292929293,0,FR3
13.0303030303,0,FR3
13.1313131313,0,FR3
13.2323232323,0,FR3
13.3333333333,0,FR3
13.4343434343,0,FR3
13.5353535354,0,FR3
13.6363636364,0,FR3
13.7373737374,0,FR3
13.8383838384,0,FR3
13.9393939394,0,FR3
14.0404040404,0,FR3
14.1414141414,0,FR3
14.2424242424,0,FR3
14.3434343434,0,FR3
14.4444444444,0,FR3
14.5454545455,0,FR3
14.6464646465,0,FR3
14.7474747475,0,FR3
14.8484848485,0,FR3
14.9494949495,0,FR3
15.0505050505,0,FR3
15.1515151515,0,FR3
15.2525252525,0,FR3
15.3535353535,0,FR3
15.4545454545,0,FR3
15.5555555556,0,FR3
15.6565656566,0,FR3
15.7575757576,0,FR3
15.8585858586,0,FR3
15.9595959596,0,FR3
16.0606060606,0,FR3
16.1616161616,0,FR3
16.2626262626,0,FR3
16.3636363636,0,FR3
16.4646464646,0,FR3
16.5656565657,0,FR3
16.6666666667,0,FR3
16.7676767677,0,FR3
16.8686868687,0,FR3
16.9696969697,0,FR3
17.0707070707,0,FR3
17.1717171717,0,FR3
17.2727272727,0,FR3
17.3737373737,0,FR3
17.4747474747,0,FR3
17.5757575758,0,FR3
17.6767676768,0,FR3
17.7777777778,0,FR3
17.8787878788,0,FR3
17.9797979798,0,FR3
18.0808080808,0,FR3
18.1818181818,0,FR3
18.2828282828,0,FR3
18.3838383838,0,FR3
18.4848484848,0,FR3
18.5858585859,0,FR3
18.6868686869,0,FR3
18.7878787879,0,FR3
18.8888888889,0,FR3
18.9898989899,0,FR3
19.0909090909,0,FR3
19.1919191919,0,FR3
19.2929292929,0,FR3
19.3939393939,0,FR3
19.4949494949,0,FR3
19.595959596,0,FR3
19.696969697,0,FR3
19.797979798,0,FR3
19.898989899,0,FR3
20.0,0,FR3
1,0.0428015564202,FR4
2,0.00389105058366,FR4
3,0.011673151751,FR4
4,0.0,FR4
5,0.0,FR4
6,0.0,FR4
7,0.0,FR4
8,0.0,FR4
9,0.0,FR4
10.0,0.91439688716,FR4
10.101010101,0.47859922179,FR4
10.202020202,0,FR4
10.303030303,0,FR4
10.404040404,0,FR4
10.5050505051,0,FR4
10.6060606061,0,FR4
10.7070707071,0,FR4
10.8080808081,0,FR4
10.9090909091,0,FR4
11.0101010101,0,FR4
11.1111111111,0,FR4
11.2121212121,0,FR4
11.3131313131,0,FR4
11.4141414141,0,FR4
11.5151515152,0,FR4
11.6161616162,0,FR4
11.7171717172,0,FR4
11.8181818182,0,FR4
11.9191919192,0,FR4
12.0202020202,0,FR4
12.1212121212,0,FR4
12.2222222222,0,FR4
12.3232323232,0,FR4
12.4242424242,0,FR4
12.5252525253,0,FR4
12.6262626263,0,FR4
12.7272727273,0,FR4
12.8282828283,0,FR4
12.9292929293,0,FR4
13.0303030303,0,FR4
13.1313131313,0,FR4
13.2323232323,0,FR4
13.3333333333,0,FR4
13.4343434343,0,FR4
13.5353535354,0,FR4
13.6363636364,0,FR4
13.7373737374,0,FR4
13.8383838384,0,FR4
13.9393939394,0,FR4
14.0404040404,0,FR4
14.1414141414,0,FR4
14.2424242424,0,FR4
14.3434343434,0,FR4
14.4444444444,0,FR4
14.5454545455,0,FR4
14.6464646465,0,FR4
14.7474747475,0,FR4
14.8484848485,0,FR4
14.9494949495,0,FR4
15.0505050505,0,FR4
15.1515151515,0,FR4
15.2525252525,0,FR4
15.3535353535,0,FR4
15.4545454545,0,FR4
15.5555555556,0,FR4
15.6565656566,0,FR4
15.7575757576,0,FR4
15.8585858586,0,FR4
15.9595959596,0,FR4
16.0606060606,0,FR4
16.1616161616,0,FR4
16.2626262626,0,FR4
16.3636363636,0,FR4
16.4646464646,0,FR4
16.5656565657,0,FR4
16.6666666667,0,FR4
16.7676767677,0,FR4
16.8686868687,0,FR4
16.9696969697,0,FR4
17.0707070707,0,FR4
17.1717171717,0,FR4
17.2727272727,0,FR4
17.3737373737,0,FR4
17.4747474747,0,FR4
17.5757575758,0,FR4
17.6767676768,0,FR4
17.7777777778,0,FR4
17.8787878788,0,FR4
17.9797979798,0,FR4
18.0808080808,0,FR4
18.1818181818,0,FR4
18.2828282828,0,FR4
18.3838383838,0,FR4
18.4848484848,0,FR4
18.5858585859,0,FR4
18.6868686869,0,FR4
18.7878787879,0,FR4
18.8888888889,0,FR4
18.9898989899,0,FR4
19.0909090909,0,FR4
19.1919191919,0,FR4
19.2929292929,0,FR4
19.3939393939,0,FR4
19.4949494949,0,FR4
19.595959596,0,FR4
19.696969697,0,FR4
19.797979798,0,FR4
19.898989899,0,FR4
20.0,0,FR4
